Epoch,Timestamp,TrainingLoss,LearningRate,UsedMemoryMB,TotalMemoryMB,MaxMemoryMB,TotalShuffleReadBytes,TotalShuffleWriteBytes,MaxTaskDuration,MinTaskDuration,AvgTaskDuration,FailedTaskCount,ProcessCpuLoad,SystemCpuLoad,TrainingAccuracy,ValidationAccuracy
1,1730684755305,0.04154280006885529,0.01,398,881,2048,12386036,12389608,6722,1,864.4350649350649,0,0.0,0.0,0.0,0.0
2,1730684827881,0.03959462761878967,0.01,631,1076,2048,12386036,12389618,6873,1,914.7652173913043,0,68.31229496339041,82.5264646046688,0.0,0.0
3,1730684893183,0.03953715920448303,0.01,744,1550,2048,12385545,12389624,6901,0,798.45,0,68.29971848896996,81.20852584944764,0.0,0.0
4,1730684957679,0.04041844069957733,0.01,1251,2046,2048,12385261,12389590,7154,1,774.395652173913,0,68.34924136359396,80.35930677643348,0.0,0.0
5,1730685024679,0.04035438030958176,0.01,973,2047,2048,12385543,12389612,7717,1,796.2304347826087,0,67.1568394579256,79.97672366865017,0.0,0.0
6,1730685089510,0.04019620835781097,0.01,1133,2048,2048,12385552,12389637,7760,1,768.7673913043478,0,67.95483479682825,79.4698045840212,0.0,0.0
7,1730685156022,0.03999002248048783,0.01,1102,2048,2048,12385283,12389613,7469,0,795.1434782608695,0,68.18231068793477,80.39141390220335,0.0,0.0
8,1730685224833,0.039754266738891604,0.01,887,2048,2048,12385270,12389601,7994,1,809.195652173913,0,64.97167225223495,81.04813917320699,0.0,0.0
9,1730685300599,0.04013359397649765,0.01,596,2048,2048,12386293,12389612,13004,0,949.5586956521739,0,57.35507264560754,82.49185667752444,0.0,0.0
10,1730685386520,0.040260385870933536,0.01,351,2048,2048,12385535,12389610,11422,1,890.304347826087,0,61.722423326426814,84.37495169343494,0.0,0.0
